             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                5.88                0.02               130.4                 0.5                  95                   4                  20                   r
                5.93                0.02               131.5                 0.4                  94                   2                  20                   a
                5.95                0.02               132.0                 0.4                  92                   3                  20                   r
                5.99                0.01               132.8                 0.3                  92                   4                  20                   a
                6.00                0.01               133.1                 0.2                  89                   3                  20                   r
                6.04                0.02               134.0                 0.4                  94                   1                  20                   a
                6.04                0.01               134.0                 0.3                  84                   2                  20                   r
                6.09                0.01               135.0                 0.2                  89                   4                  20                   r
                6.09                0.01               135.1                 0.2                  92                   3                  20                   a
                6.12                0.01               135.7                 0.3                  84                   1                  20                   r
                6.13                0.01               135.9                 0.3                  94                   2                  20                   a
                6.17                0.01               136.7                 0.2                  87                   2                  20                   r
                6.18                0.01               137.1                 0.3                  95                   2                  20                   a
                6.21                0.01               137.7                 0.3                  90                   3                  20                   r
                6.24                0.01               138.3                 0.3                  99                   2                  20                   a
                6.25                0.01               138.6                 0.3                  96                   4                  20                   r
                6.29                0.02               139.4                 0.4                 101                   3                  20                   a
                6.29                0.01               139.5                 0.3                  91                   3                  20                   r
                6.34                0.01               140.5                 0.3                  92                   3                  20                   r
                6.35                0.02               140.9                 0.4                  98                   2                  20                   a
                6.38                0.01               141.4                 0.3                 102                   3                  20                   r
                6.42                0.02               142.5                 0.5                  99                   3                  20                   r
                6.42                0.03               142.5                 0.7                 106                   2                  20                   a
                6.50                0.02               144.1                 0.4                  98                   5                  20                   r
                6.55                0.05               145.3                 1.1                  99                   4                  20                   a
                6.56                0.03               145.5                 0.6                 110                   4                  20                   r
                6.65                0.02               147.5                 0.5                 103                   4                  20                   r
                6.73                0.03               149.3                 0.6                 107                   3                  20                   r
                6.80                0.09               150.8                 2.0                 101                   5                  20                   a
                6.82                0.02               151.3                 0.4                 105                   3                  20                   r
                6.92                0.03               153.6                 0.8                 112                   4                  20                   r
                7.04                0.04               156.1                 0.8                 124                   3                  20                   r
                7.13                0.07               158.1                 1.6                 100                   4                  20                   a
                7.17                0.03               158.9                 0.6                 130                   4                  20                   r
                7.25                0.02               160.7                 0.5                 134                   4                  20                   r
                7.32                0.03               162.3                 0.8                 107                   2                  20                   a
